 distance[ft],uprime[ft/s],vprime[ft/s],wprime[ft/s],pprime[rad/s]
   1980.0000000000000      ,  -4.2721699593350797      ,  -4.2773621366365502      ,  -1.6600693606667893      ,   6.3949112067458857E-003
   2000.0000000000000      ,  -3.2553977185700349      ,  -4.0729990838264154      ,  -2.4605178376731476      ,   7.0819845995207950E-002
   2020.0000000000000      ,  -3.8353396489222598      ,  -2.9833828011811256      ,  -2.4385180300921059      ,   5.7911688580411173E-002
   2040.0000000000000      ,  -4.5682112599812195      ,  -1.1566030587100873      ,  -1.2346495347029285      ,   7.6819216152095707E-002
   2060.0000000000000      ,  -4.8216040810377105      , -0.93014529687507608      ,  0.29997873151315868      ,  0.13001964379454975     
   2080.0000000000000      ,  -4.3076308411660946      ,  -1.0821432914834765      ,  0.95155629838928801      ,  0.15411059664202262     
   2100.0000000000000      ,  -3.7893416460128408      , -0.76405133184699392      ,  0.88943121831381822      ,  0.10983984258095006     
   2120.0000000000000      ,  -3.9253484968358050      , -0.59668446513028672      ,  0.45395160450386196      ,   3.8408053904912261E-002
   2140.0000000000000      ,  -6.0849851211513721      , -0.33856610561541561      , -0.37703744731869421      ,   4.2825002572059380E-002
   2160.0000000000000      ,  -5.2746977825498771      ,  0.92575360962684838      , -0.33409776478609632      ,   2.1690739196929119E-002
   2180.0000000000000      ,  -5.3834685440009009      ,   1.8399938429020208      ,  0.12413954886509013      ,   1.6072972785793491E-002
   2200.0000000000000      ,  -4.8497900778228624      ,   3.4050516744205850      ,  0.24831370340624662      ,   1.0095258539327303E-002
   2220.0000000000000      ,  -4.2164353445168654      ,   2.3461746477662038      ,  0.54650119590863522      ,   3.4807255171128183E-002
   2240.0000000000000      ,  -5.8107422969187743      ,   2.0776421586264280      , -0.10642484212777276      ,   4.2447986368498197E-002
   2260.0000000000000      ,  -6.2403488221116836      ,   3.6830084129859109      ,  0.15902387575618016      ,  0.11932859444456667     
