 t[s],u[ft/s],v[ft/s],w[ft/s],p[rad/s],q[rad/s],r[rad/s],x[ft],y[ft],z[ft],e0,ex,ey,ez,aileron[deg],elevator[deg],rudder[deg],throttle,aileron_dot[rad/s],elevator_dot[rad/s],rudder_dot[rad/s],throttle_dot,longitude[deg], latitude[deg], azimuth[deg]
0.250000000000000,347.394403011518,0.849644671776598,42.4485188652321,0.451613241296335,-0.104716444701167,0.258379723203263E-1,87.4982785587978,-0.554156643081627E-2,-1000.03496876876,0.997972600752285,0.175895876157218E-1,0.611656999320021E-1,-0.227391861060042E-3,-13.4084639066224,-1.38203941489555,-0.640501059860405,0.663248710991064E-1,0.262197254188493E-1,-0.301304940937798,-0.144767213453761,-0.271045245185317E-1,0.239994587635544E-3,-0.151996813167071E-7,0.980156585837625E-1
0.260000000000000,347.438485073198,0.955071140103631,42.0855906034441,0.482925404626968,-0.110495525206689,0.281930853001080E-1,90.9980705143378,-0.606160721382415E-2,-1000.03769097972,0.997961566962234,0.199296823274779E-1,0.606255606382317E-1,-0.245001854193148E-3,-13.3434411105575,-1.57030219780179,-0.725386495724704,0.660504970373399E-1,0.200380017788899,-0.351326035875977,-0.150290511186996,-0.277659516111861E-1,0.249593989360219E-3,-0.166260747860252E-7,0.111254825286651
0.270000000000000,347.484359727267,1.06476493150597,41.7079459938646,0.513128738510243,-0.115981273897181,0.305968336235839E-1,94.4978668588082,-0.656478561657116E-2,-1000.04023095606,0.997943032245448,0.224239653938301E-1,0.600566586116576E-1,-0.260624593882481E-3,-13.1786318173769,-1.78429232822775,-0.812889616182358,0.657696380430466E-1,0.371183002544367,-0.391279546081612,-0.153960531504857,-0.284016155247936E-1,0.259193403121859E-3,-0.180062172881941E-7,0.125422035745085
0.280000000000000,347.531856109307,1.17790095181649,41.3166960740952,0.541939191068267,-0.121153191957837,0.330365645023012E-1,97.9976722087212,-0.704004226437837E-2,-1000.04253022752,0.997915863154482,0.250661552579994E-1,0.594604326979066E-1,-0.273621279993821E-3,-12.9183732967108,-2.01843369935141,-0.901893698110936,0.654825481531672E-1,0.529921990135190,-0.421868646615926,-0.155606718243923,-0.290122326002098E-1,0.268792841582959E-3,-0.193097746257522E-7,0.140496212413070
0.290000000000000,347.580797167910,1.29358853604111,40.9129746262347,0.569101303639993,-0.125996307358024,0.354995929803637E-1,101.497491238809,-0.747560081138489E-2,-1000.04452903511,0.997878958697250,0.278486078652829E-1,0.588384105111234E-1,-0.283333341927698E-3,-12.5718619331393,-2.26758322524880,-0.991197750120709,0.651894742963315E-1,0.669096028039743,-0.443892175126564,-0.155104323121148,-0.295985081869530E-1,0.278392317565728E-3,-0.205044460573843E-7,0.156450184112170
0.300000000000000,347.631002727298,1.41088841841140,40.4979266604217,0.594401727883071,-0.130500703478456,0.379738623410375E-1,104.997328602860,-0.785909420951690E-2,-1000.04616676074,0.997831275730876,0.307624997916878E-1,0.581921833634200E-1,-0.289093853685726E-3,-12.1520333226314,-2.52707375665763,-1.07954355605895,0.648906564118370E-1,0.786028940222633,-0.458204482425814,-0.152376763987937,-0.301611348398408E-1,0.287991843834959E-3,-0.215563106346657E-7,0.173251601214585
0.310000000000000,347.682292320686,1.52883279424073,40.0726983040833,0.617672475169182,-0.134661015814733,0.404481572137948E-1,108.497188865655,-0.817770080423871E-2,-1000.04738231480,0.997771851817694,0.337980447782718E-1,0.575233835129817E-1,-0.290238994075158E-3,-11.6713996464363,-2.79273608471942,-1.16564431210767,0.645863275854048E-1,0.881630822993524,-0.465682493028995,-0.147398773791681,-0.307007907652854E-1,0.297591432911338E-3,-0.224302004921860E-7,0.190863988326902
0.320000000000000,347.734487719973,1.64644588175959,39.6384279623044,0.638788180019059,-0.138475915642043,0.429120616921193E-1,111.997076446559,-0.841827800300308E-2,-1000.04811448155,0.997699824912453,0.369447176751021E-1,0.568336638051834E-1,-0.286118938098092E-3,-11.1418634615599,-3.06090395631879,-1.24821495198953,0.642767141990914E-1,0.957099057109315,-0.467199240244974,-0.140199143457743,-0.312181385428530E-1,0.307191096916722E-3,-0.230900674799511E-7,0.209247794628907
0.330000000000000,347.787415100945,1.76276234906454,39.1962386550625,0.657663056158299,-0.141947596874199,0.453559247636053E-1,115.496995574712,-0.856748220179374E-2,-1000.04830222219,0.997614449853451,0.401914609408083E-1,0.561246797368134E-1,-0.276107734081052E-3,-10.5745763392246,-3.32840560158679,-1.32600329172033,0.639620360925142E-1,1.01383922199184,-0.463603139480803,-0.130860947588612,-0.317138241393082E-1,0.316790847451242E-3,-0.234993121038037E-7,0.228361309083888
0.340000000000000,347.840906836759,1.87684360677803,38.7472313986770,0.674247521885354,-0.145081277227719,0.477708276663606E-1,118.996950254983,-0.861187573926185E-2,-1000.04788493760,0.997515111236151,0.435268752348669E-1,0.553980738779617E-1,-0.259612074897271E-3,-9.97983963558027,-3.59254485585990,-1.39782036815799,0.636425067324857E-1,1.05339708736185,-0.455702280142353,-0.119518659079727,-0.321884762115012E-1,0.326390695499917E-3,-0.236210768844868E-7,0.248161456057705
