 time[s],latitude[deg],longitude[deg],azimuth[deg]
3.7500000,0.36319855E-2,-0.67495885E-4,0.48194665
3.7600000,0.36418299E-2,-0.67445321E-4,0.49036141
3.7700000,0.36516755E-2,-0.67393199E-4,0.49878310
3.7800000,0.36615222E-2,-0.67339518E-4,0.50721146
3.7900000,0.36713702E-2,-0.67284276E-4,0.51564625
3.8000000,0.36812193E-2,-0.67227470E-4,0.52408724
3.8100000,0.36910696E-2,-0.67169099E-4,0.53253417
3.8200000,0.37009212E-2,-0.67109160E-4,0.54098679
3.8300000,0.37107739E-2,-0.67047653E-4,0.54944487
3.8400000,0.37206279E-2,-0.66984574E-4,0.55790815
3.8500000,0.37304831E-2,-0.66919922E-4,0.56637639
3.8600000,0.37403394E-2,-0.66853695E-4,0.57484935
3.8700000,0.37501970E-2,-0.66785892E-4,0.58332678
3.8800000,0.37600558E-2,-0.66716509E-4,0.59180843
3.8900000,0.37699158E-2,-0.66645546E-4,0.60029407
3.9000000,0.37797771E-2,-0.66573001E-4,0.60878345
3.9100000,0.37896395E-2,-0.66498871E-4,0.61727634
3.9200000,0.37995032E-2,-0.66423154E-4,0.62577250
3.9300000,0.38093681E-2,-0.66345850E-4,0.63427168
3.9400000,0.38192342E-2,-0.66266956E-4,0.64277366
3.9500000,0.38291016E-2,-0.66186470E-4,0.65127820
3.9600000,0.38389702E-2,-0.66104391E-4,0.65978508
3.9700000,0.38488400E-2,-0.66020716E-4,0.66829406
3.9800000,0.38587111E-2,-0.65935444E-4,0.67680492
3.9900000,0.38685834E-2,-0.65848573E-4,0.68531744
4.0000000,0.38784569E-2,-0.65760102E-4,0.69383140
4.0100000,0.38883317E-2,-0.65670028E-4,0.70234658
4.0200000,0.38982078E-2,-0.65578350E-4,0.71086276
4.0300000,0.39080850E-2,-0.65485066E-4,0.71937974
4.0400000,0.39179636E-2,-0.65390175E-4,0.72789731
4.0500000,0.39278434E-2,-0.65293674E-4,0.73641526
4.0600000,0.39377244E-2,-0.65195562E-4,0.74493339
4.0700000,0.39476067E-2,-0.65095838E-4,0.75345151
4.0800000,0.39574903E-2,-0.64994499E-4,0.76196941
4.0900000,0.39673751E-2,-0.64891545E-4,0.77048692
4.1000000,0.39772612E-2,-0.64786972E-4,0.77900384
4.1100000,0.39871485E-2,-0.64680780E-4,0.78751999
4.1200000,0.39970371E-2,-0.64572968E-4,0.79603519
4.1300000,0.40069270E-2,-0.64463532E-4,0.80454926
4.1400000,0.40168182E-2,-0.64352473E-4,0.81306205
4.1500000,0.40267106E-2,-0.64239787E-4,0.82157337
4.1600000,0.40366043E-2,-0.64125475E-4,0.83008306
4.1700000,0.40464993E-2,-0.64009533E-4,0.83859097
4.1800000,0.40563955E-2,-0.63891961E-4,0.84709694
4.1900000,0.40662931E-2,-0.63772757E-4,0.85560082
4.2000000,0.40761919E-2,-0.63651919E-4,0.86410246
4.2100000,0.40860920E-2,-0.63529446E-4,0.87260173
4.2200000,0.40959934E-2,-0.63405336E-4,0.88109848
4.2300000,0.41058961E-2,-0.63279588E-4,0.88959259
4.2400000,0.41158001E-2,-0.63152201E-4,0.89808391
4.2500000,0.41257054E-2,-0.63023172E-4,0.90657233
4.2600000,0.41356120E-2,-0.62892500E-4,0.91505773
4.2700000,0.41455198E-2,-0.62760185E-4,0.92353999
4.2800000,0.41554290E-2,-0.62626224E-4,0.93201900
4.2900000,0.41653395E-2,-0.62490616E-4,0.94049465
4.3000000,0.41752513E-2,-0.62353359E-4,0.94896684
4.3100000,0.41851643E-2,-0.62214453E-4,0.95743547
4.3200000,0.41950787E-2,-0.62073896E-4,0.96590044
4.3300000,0.42049944E-2,-0.61931685E-4,0.97436167
4.3400000,0.42149115E-2,-0.61787821E-4,0.98281907
4.3500000,0.42248298E-2,-0.61642301E-4,0.99127255
4.3600000,0.42347495E-2,-0.61495125E-4,0.99972204
4.3700000,0.42446704E-2,-0.61346290E-4,1.0081675
4.3800000,0.42545927E-2,-0.61195796E-4,1.0166088
4.3900000,0.42645163E-2,-0.61043641E-4,1.0250459
4.4000000,0.42744413E-2,-0.60889824E-4,1.0334787
4.4100000,0.42843675E-2,-0.60734343E-4,1.0419072
4.4200000,0.42942951E-2,-0.60577198E-4,1.0503314
4.4300000,0.43042240E-2,-0.60418386E-4,1.0587511
4.4400000,0.43141543E-2,-0.60257907E-4,1.0671663
4.4500000,0.43240859E-2,-0.60095760E-4,1.0755771
4.4600000,0.43340188E-2,-0.59931943E-4,1.0839833
4.4700000,0.43439531E-2,-0.59766455E-4,1.0923849
4.4800000,0.43538887E-2,-0.59599294E-4,1.1007819
4.4900000,0.43638256E-2,-0.59430460E-4,1.1091743
4.5000000,0.43737639E-2,-0.59259951E-4,1.1175620
4.5100000,0.43837035E-2,-0.59087766E-4,1.1259450
4.5200000,0.43936445E-2,-0.58913904E-4,1.1343234
4.5300000,0.44035869E-2,-0.58738363E-4,1.1426970
